distance_m,cache_tiles,world_center_x,traced_current_mb,traced_peak_mb,cache_bytes_est,elapsed_s
17000.0,17020,3399,3.9959,6.0868,3812480,19.69
17050.0,17070,3409,4.0051,6.096,3823680,19.75
17100.0,17120,3419,4.0144,6.1053,3834880,19.81
17150.0,17170,3429,4.0236,6.1145,3846080,19.87
17200.0,17220,3439,4.0329,6.1238,3857280,19.93
17250.0,17270,3449,4.0421,6.133,3868480,19.98
17300.0,17320,3459,4.0514,6.1424,3879680,20.04
17350.0,17370,3469,4.0607,6.1516,3890880,20.1
17400.0,17420,3479,4.0698,6.1607,3902080,20.17
17450.0,17470,3489,4.0792,6.1701,3913280,20.22
17500.0,17520,3499,4.0884,6.1793,3924480,20.28
17550.0,17570,3509,4.0977,6.1887,3935680,20.34
17600.0,17620,3519,4.1069,6.1978,3946880,20.4
17650.0,17670,3529,4.1165,6.2074,3958080,20.46
17700.0,17720,3539,4.1259,6.2168,3969280,20.52
17750.0,17770,3549,4.1351,6.226,3980480,20.58
17800.0,17820,3559,4.1443,6.2352,3991680,20.65
17850.0,17870,3569,4.1537,6.2446,4002880,20.71
17900.0,17920,3579,4.1629,6.2539,4014080,20.77
17950.0,17970,3589,4.1721,6.263,4025280,20.84
18000.0,18020,3599,4.1814,6.2724,4036480,20.9
18050.0,18070,3609,4.1906,6.2816,4047680,20.96
18100.0,18120,3619,4.1998,6.2908,4058880,21.02
18150.0,18170,3629,4.2092,6.3001,4070080,21.08
18200.0,18220,3639,4.2183,6.3093,4081280,21.14
18250.0,18270,3649,4.2276,6.3186,4092480,21.21
18300.0,18320,3659,4.237,6.3279,4103680,21.27
18350.0,18370,3669,4.2463,6.3372,4114880,21.32
18400.0,18420,3679,4.2555,6.3464,4126080,21.39
18450.0,18470,3689,4.2647,6.3556,4137280,21.44
18500.0,18520,3699,4.274,6.365,4148480,21.5
18550.0,18570,3709,4.2832,6.3741,4159680,21.56
18600.0,18620,3719,4.2925,6.3834,4170880,21.63
18650.0,18670,3729,4.3019,6.3929,4182080,21.68
18700.0,18720,3739,4.3109,6.4019,4193280,21.75
18750.0,18770,3749,4.3202,6.4112,4204480,21.81
18800.0,18820,3759,4.3296,6.4205,4215680,21.89
18850.0,18870,3769,4.3387,6.4296,4226880,21.96
18900.0,18920,3779,4.3481,6.439,4238080,22.01
18950.0,18970,3789,4.3574,6.4483,4249280,22.07
19000.0,19020,3799,4.3666,6.4576,4260480,22.13
19050.0,19070,3809,4.3758,6.4668,4271680,22.2
19100.0,19120,3819,4.3851,6.4761,4282880,22.29
19150.0,19170,3829,4.3944,6.4854,4294080,22.38
19200.0,19220,3839,4.4036,6.4946,4305280,22.47
19250.0,19270,3849,4.4129,6.5038,4316480,22.53
19300.0,19320,3859,4.4222,6.5131,4327680,22.6
19350.0,19370,3869,4.4314,6.5223,4338880,22.66
19400.0,19420,3879,4.4407,6.5316,4350080,22.72
19450.0,19470,3889,4.4499,6.5409,4361280,22.79
19500.0,19520,3899,4.4592,6.5502,4372480,22.87
19550.0,19570,3909,4.4685,6.5594,4383680,22.94
19600.0,19620,3919,4.4778,6.5688,4394880,23.0
19650.0,19670,3929,4.4871,6.5781,4406080,23.07
19700.0,19720,3939,4.4962,6.5872,4417280,23.13
19750.0,19770,3949,4.5055,6.5965,4428480,23.19
19800.0,19820,3959,4.5148,6.6057,4439680,23.26
19850.0,19870,3969,4.5241,6.6151,4450880,23.32
19900.0,19920,3979,4.5333,6.6242,4462080,23.38
19950.0,19970,3989,4.5426,6.6335,4473280,23.44
20000.0,20020,3999,4.5518,6.6428,4484480,23.5
20000.0,20020,3999,4.5525,6.6428,4484480,23.5
